case_id,ACT_1,ACT_2,ACT_3,ACT_4,Span_in_minutes
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,517
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,170
Case 17,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,Turning Q.C.,640
Case 17,Turning - Machine 8,Turning Q.C.,Turning Q.C.,Laser Marking - Machine 7,500
Case 17,Turning Q.C.,Turning Q.C.,Laser Marking - Machine 7,Turning Q.C.,40
Case 17,Turning Q.C.,Laser Marking - Machine 7,Turning Q.C.,Turning - Machine 8,15
Case 17,Laser Marking - Machine 7,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,83
Case 17,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,113
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,205
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,62
Case 17,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,Turning - Machine 8,222
Case 17,Turning - Machine 8,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,1512
Case 17,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,57
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,336
Case 17,Turning - Machine 8,Turning - Machine 8,Turning Q.C.,Turning Q.C.,34
Case 17,Turning - Machine 8,Turning Q.C.,Turning Q.C.,Turning - Machine 8,426
Case 17,Turning Q.C.,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,70
Case 17,Turning Q.C.,Turning - Machine 8,Turning - Machine 8,Packing,121
Case 17,Turning - Machine 8,Turning - Machine 8,Packing,Final Inspection Q.C.,137
Case 17,Turning - Machine 8,Packing,Final Inspection Q.C.,Turning - Machine 8,481
Case 17,Packing,Final Inspection Q.C.,Turning - Machine 8,Turning - Machine 8,0
Case 17,Final Inspection Q.C.,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,60
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,236
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,140
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,186
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,655
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,587
Case 17,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,Turning - Machine 8,468
Case 174,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,272
Case 174,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,292
Case 174,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,67
Case 174,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,229
Case 174,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,69
Case 174,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,211
Case 174,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,217
Case 174,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,364
Case 174,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,83
Case 174,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,31
Case 174,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,54
Case 174,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 12,88
Case 174,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 12,Round Grinding - Machine 12,58
Case 174,Lapping - Machine 1,Round Grinding - Machine 12,Round Grinding - Machine 12,Round Grinding - Machine 12,122
Case 174,Round Grinding - Machine 12,Round Grinding - Machine 12,Round Grinding - Machine 12,Lapping - Machine 1,0
Case 174,Round Grinding - Machine 12,Round Grinding - Machine 12,Lapping - Machine 1,Packing,216
Case 174,Round Grinding - Machine 12,Lapping - Machine 1,Packing,Final Inspection Q.C.,70
Case 177,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,125
Case 177,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,107
Case 177,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,48
Case 177,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,374
Case 177,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,100
Case 177,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,230
Case 177,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,Packing,60
Case 177,Final Inspection Q.C.,Grinding Rework - Machine 27,Packing,Final Inspection Q.C.,40
Case 177,Grinding Rework - Machine 27,Packing,Final Inspection Q.C.,Lapping - Machine 1,73
Case 178,Round Grinding - Machine 3,Round Grinding - Machine 2,Grinding Rework - Machine 27,Grinding Rework - Machine 27,290
Case 178,Round Grinding - Machine 2,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Lapping - Machine 1,60
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Lapping - Machine 1,Lapping - Machine 1,56
Case 178,Grinding Rework - Machine 27,Lapping - Machine 1,Lapping - Machine 1,Grinding Rework - Machine 27,322
Case 178,Fix - Machine 19,Grinding Rework - Machine 2,Grinding Rework - Machine 2,Grinding Rework - Machine 27,405
Case 178,Grinding Rework - Machine 2,Grinding Rework - Machine 2,Grinding Rework - Machine 27,Grinding Rework - Machine 27,550
Case 178,Grinding Rework - Machine 2,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,241
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,223
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,9
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,121
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,317
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,68
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,18
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,47
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,299
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,160
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,245
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,528
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,408
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,310
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,459
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Turning & Milling Q.C.,197
Case 178,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Turning & Milling Q.C.,Lapping - Machine 1,103
Case 178,Grinding Rework - Machine 27,Turning & Milling Q.C.,Lapping - Machine 1,Laser Marking - Machine 7,194
Case 178,Turning & Milling Q.C.,Lapping - Machine 1,Laser Marking - Machine 7,Round Grinding - Machine 3,8
Case 178,Lapping - Machine 1,Laser Marking - Machine 7,Round Grinding - Machine 3,Round Grinding - Q.C.,0
Case 179,Final Inspection Q.C.,Packing,Grinding Rework - Machine 12,Final Inspection Q.C.,60
Case 179,Packing,Grinding Rework - Machine 12,Final Inspection Q.C.,Packing,0
Case 179,Grinding Rework - Machine 12,Final Inspection Q.C.,Packing,Final Inspection Q.C.,125
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,100
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,67
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,103
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,16
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,634
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,182
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 5,65
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,571
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,135
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,1
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,656
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,655
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 4,330
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 5,661
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,481
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,0
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,390
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 5,376
Case 18,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 5,100
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,230
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,458
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 5,60
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 4,251
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,80
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,240
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 4,241
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,611
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,Turning & Milling Q.C.,612
Case 18,Turning & Milling - Machine 4,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 4,549
Case 18,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,76
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,130
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,244
Case 18,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,610
Case 18,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling Q.C.,0
Case 18,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 4,0
Case 18,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,0
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,100
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,231
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,230
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,1
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,100
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,93
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,360
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,20
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,393
Case 18,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling - Machine 4,542
Case 18,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling - Machine 4,Turning & Milling - Machine 4,1
Case 18,Laser Marking - Machine 7,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,26
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,262
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,619
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 4,557
Case 18,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 5,170
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 5,40
Case 18,Turning & Milling - Machine 4,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,60
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,1
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,425
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,1
Case 18,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,Turning & Milling Q.C.,276
Case 18,Turning & Milling Q.C.,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 5,224
Case 18,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 4,131
Case 18,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Laser Marking - Machine 7,212
Case 18,Turning & Milling - Machine 5,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,62
Case 18,Turning & Milling - Machine 4,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling Q.C.,961
Case 18,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling Q.C.,66
Case 18,Laser Marking - Machine 7,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,1
Case 18,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,14
Case 18,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Lapping - Machine 1,30
Case 18,Turning & Milling Q.C.,Turning & Milling Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,20
Case 18,Turning & Milling Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,140
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,43
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,340
Case 18,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,1
Case 18,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,367
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,450
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,379
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,1441
Case 18,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,307
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,197
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,362
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,293
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,512
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Machine 2,386
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Machine 2,Round Grinding - Machine 2,50
Case 18,Final Inspection Q.C.,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,282
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,429
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,186
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Machine 2,404
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Machine 2,Packing,100
Case 18,Final Inspection Q.C.,Round Grinding - Machine 2,Packing,Final Inspection Q.C.,372
Case 18,Round Grinding - Machine 2,Packing,Final Inspection Q.C.,Final Inspection Q.C.,41
Case 18,Packing,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,0
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,Final Inspection Q.C.,100
Case 18,Final Inspection Q.C.,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 2,170
Case 18,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 2,Lapping - Machine 1,100
Case 18,Final Inspection Q.C.,Round Grinding - Machine 2,Lapping - Machine 1,Turning & Milling - Machine 5,282
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Turning & Milling - Machine 5,Round Grinding - Machine 2,171
Case 18,Lapping - Machine 1,Turning & Milling - Machine 5,Round Grinding - Machine 2,Round Grinding - Machine 2,0
Case 18,Turning & Milling - Machine 5,Round Grinding - Machine 2,Round Grinding - Machine 2,Packing,0
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Packing,Lapping - Machine 1,130
Case 18,Round Grinding - Machine 2,Packing,Lapping - Machine 1,Round Grinding - Machine 2,285
Case 18,Packing,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,0
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,Round Grinding - Machine 2,0
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Round Grinding - Machine 2,Final Inspection Q.C.,305
Case 18,Final Inspection Q.C.,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,90
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,399
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,90
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,60
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,40
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,45
Case 18,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,27
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,130
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,450
Case 18,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,0
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,0
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,Final Inspection Q.C.,146
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 2,535
Case 18,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 2,Packing,442
Case 18,Final Inspection Q.C.,Round Grinding - Machine 2,Packing,Lapping - Machine 1,65
Case 18,Round Grinding - Machine 2,Packing,Lapping - Machine 1,Lapping - Machine 1,582
Case 18,Packing,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,0
Case 18,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,0
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,Lapping - Machine 1,0
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,514
Case 18,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,30
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Final Inspection Q.C.,Grinding Rework - Machine 27,191
Case 18,Round Grinding - Machine 2,Final Inspection Q.C.,Grinding Rework - Machine 27,Lapping - Machine 1,440
Case 18,Final Inspection Q.C.,Grinding Rework - Machine 27,Lapping - Machine 1,Round Grinding - Machine 2,220
Case 18,Grinding Rework - Machine 27,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,47
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Lapping - Machine 1,Laser Marking - Machine 7,1
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Laser Marking - Machine 7,Final Inspection Q.C.,640
Case 18,Lapping - Machine 1,Laser Marking - Machine 7,Final Inspection Q.C.,Grinding Rework - Machine 27,0
Case 18,Laser Marking - Machine 7,Final Inspection Q.C.,Grinding Rework - Machine 27,Round Grinding - Machine 2,0
Case 18,Final Inspection Q.C.,Grinding Rework - Machine 27,Round Grinding - Machine 2,Lapping - Machine 1,100
Case 18,Grinding Rework - Machine 27,Round Grinding - Machine 2,Lapping - Machine 1,Final Inspection Q.C.,611
Case 18,Round Grinding - Machine 2,Lapping - Machine 1,Final Inspection Q.C.,Lapping - Machine 1,516
Case 18,Lapping - Machine 1,Final Inspection Q.C.,Lapping - Machine 1,Final Inspection Q.C.,208
Case 18,Final Inspection Q.C.,Lapping - Machine 1,Final Inspection Q.C.,Lapping - Machine 1,230
Case 18,Lapping - Machine 1,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,85
Case 18,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,192
Case 18,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,0
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,163
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,329
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,115
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,23
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,112
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,638
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Grinding Rework - Machine 27,638
Case 18,Round Grinding - Machine 2,Round Grinding - Machine 2,Grinding Rework - Machine 27,Final Inspection Q.C.,177
Case 18,Round Grinding - Machine 2,Grinding Rework - Machine 27,Final Inspection Q.C.,Grinding Rework - Machine 27,17
Case 18,Grinding Rework - Machine 27,Final Inspection Q.C.,Grinding Rework - Machine 27,Final Inspection Q.C.,88
Case 18,Final Inspection Q.C.,Grinding Rework - Machine 27,Final Inspection Q.C.,Packing,170
Case 18,Grinding Rework - Machine 27,Final Inspection Q.C.,Packing,Final Inspection Q.C.,14
Case 18,Final Inspection Q.C.,Packing,Final Inspection Q.C.,Packing,60
Case 18,Packing,Final Inspection Q.C.,Packing,Final Inspection Q.C.,0
Case 18,Final Inspection Q.C.,Packing,Final Inspection Q.C.,Final Inspection Q.C.,155
Case 18,Packing,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,0
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,181
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,70
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,230
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,284
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,100
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,90
Case 18,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,Grinding Rework - Machine 27,230
Case 18,Final Inspection Q.C.,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,130
Case 18,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Final Inspection Q.C.,105
